id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
28901129,2019-07-15 12:29:08 PM NZST,2019-07-15,2019-07-15 00:29:08 UTC,Auckland,,1519820,mikebennett1,2019-07-15 23:57:28 UTC,2019-07-16 10:30:30 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/28901129,https://static.inaturalist.org/photos/45077191/medium.jpeg?1563235053,,"",Growing out of the end of a deadfall branch.,false,3,0,false,2,"Turitea 4474, New Zealand",-40.4341659546,175.6538848877,,,,false,gps,gps,Pseudohydnum,Pseudohydnum,,Fungi,54165,Fungi,Basidiomycota,,,Agaricomycetes,,,Auriculariales,,,,,,,,Pseudohydnum,,,,,,
28901456,2019-07-13 4:27:05 PM NZST,2019-07-13,2019-07-13 04:27:05 UTC,Auckland,,1519820,mikebennett1,2019-07-16 00:02:39 UTC,2019-07-16 17:29:07 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/28901456,https://static.inaturalist.org/photos/45077586/medium.jpeg?1563235364,,"",,false,3,1,false,2,"Turitea 4474, New Zealand",-40.4328989577,175.6670727208,2813,,,false,gps,gps,Clavulinopsis,Clavulinopsis,,Fungi,55244,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Clavariaceae,,,,,Clavulinopsis,,,,,,
29037050,2019/06/27 3:51 PM NZST,2019-06-27,2019-06-27 03:51:00 UTC,Auckland,false,58734,strewick,2019-07-18 03:45:57 UTC,2019-07-18 04:20:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29037050,https://static.inaturalist.org/photos/45299712/medium.jpeg?1563421504,,"","",false,2,0,false,,"Massey University, Palmerston North, New Zealand",-40.3876392802,175.6185601919,15,,open,false,,,European Greenfinch,Chloris chloris,Greenfinch,Aves,145360,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Fringillidae,,,,,Chloris,,Chloris chloris,,,,
29037118,2019/06/28 1:42 PM NZST,2019-06-28,2019-06-28 01:42:00 UTC,Auckland,false,58734,strewick,2019-07-18 03:47:13 UTC,2019-07-30 05:54:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29037118,https://static.inaturalist.org/photos/45299766/medium.jpeg?1563421590,,"",,false,5,0,false,,"Massey University, Palmerston North, New Zealand",-40.3877502028,175.6187338082,4,,open,false,,,European Goldfinch,Carduelis carduelis,Goldfinch,Aves,9398,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Fringillidae,,,,,Carduelis,,Carduelis carduelis,,,,
29349533,2019-07-23 11:46:58 AM NZST,2019-07-23,2019-07-22 23:46:58 UTC,Wellington,,686442,axons,2019-07-22 23:52:53 UTC,2019-07-23 09:38:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/29349533,https://static.inaturalist.org/photos/45800867/medium.jpeg?1563839577,,"",,false,2,0,false,2,"Massey University, Palmerston North, New Zealand",-40.3876437847,175.6185103208,66,,,false,gps,gps,Harmonia antipoda,Harmonia antipoda,Antipodean Ladybird Beetle,Insecta,390283,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,Coccinellini,,Harmonia,,Harmonia antipoda,,,,
29463071,Thu Jul 25 2019 07:36:43 GMT+1200 (GMT+12),2019-07-25,2019-07-24 19:36:43 UTC,Auckland,,1962837,emottnature,2019-07-24 19:45:03 UTC,2019-07-24 21:30:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29463071,https://static.inaturalist.org/photos/45982315/medium.jpg?1563997506,,"","Poor buddy was injured we put him on a tree but don’t think he will survive
",false,2,0,false,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.3860962042,175.6139245429,8,,,false,,,Puriri moth,Aenetus virescens,Puriri moth,Insecta,409639,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Hepialoidea,Hepialidae,,,,,Aenetus,,Aenetus virescens,,,,
29488949,Thu Jul 25 2019 14:31:49 GMT+1200 (GMT+12),2019-07-25,2019-07-25 02:31:49 UTC,Auckland,,695735,zoology,2019-07-25 02:41:17 UTC,2019-07-30 09:07:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29488949,https://static.inaturalist.org/photos/46025062/medium.jpg?1564022480,,"",,false,1,0,false,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.3876710272,175.6174555362,305,,,false,,,Basket-cocoon parasitoid,Meteorus pulchricornis,Basket-cocoon parasitoid,Insecta,410016,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,Meteorinae,,,,Meteorus,,Meteorus pulchricornis,,,,
29529013,Fri Jul 26 2019 07:25:56 GMT+1200 (GMT+12),2019-07-26,2019-07-25 19:25:56 UTC,Auckland,,1962837,emottnature,2019-07-25 19:48:05 UTC,2019-07-26 04:59:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29529013,https://static.inaturalist.org/photos/46089394/medium.jpg?1564084088,,"",,false,1,0,false,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.3866057206,175.6156315711,14,,,false,,,Netelia ephippiata,Netelia ephippiata,,Insecta,410053,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Ichneumonoidea,Ichneumonidae,Tryphoninae,,Phytodietini,,Netelia,,Netelia ephippiata,,,,
29622766,2019/07/27 1:05 PM NZST,2019-07-27,2019-07-27 01:05:00 UTC,Auckland,false,58734,strewick,2019-07-27 06:15:45 UTC,2019-07-27 06:19:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29622766,https://static.inaturalist.org/photos/46240723/medium.jpg?1564208084,,"",seen most days but gleaning among shrubs. this time it stopped to preen in morning sun.,false,1,0,false,,"Turitea 4474, New Zealand",-40.4150597153,175.6638742235,4,,open,false,,,Grey Gerygone,Gerygone igata,Grey Warbler,Aves,13494,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Acanthizidae,,,,,Gerygone,,Gerygone igata,,,,
29622867,2019/07/20 12:38 AM NZST,2019-07-20,2019-07-19 12:38:00 UTC,Auckland,,58734,strewick,2019-07-27 06:22:16 UTC,2019-07-27 20:56:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29622867,https://static.inaturalist.org/photos/46240866/medium.jpg?1564208318,,"",common but I had not noticed peculiar profile of these aptly named snout moths,false,1,0,false,,"Turitea 4474, New Zealand",-40.4148166993,175.6639171389,4,,,false,,,Slender owlet moth,Rhapsa scotosialis,Slender owlet moth,Insecta,243982,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Erebinae,,,,Rhapsa,,Rhapsa scotosialis,,,,
