id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
5901311,2017/04/22,2017-04-22,,Wellington,false,57775,pohanginapete,2017-04-22 05:38:05 UTC,2017-04-22 05:54:42 UTC,research,CC-BY,http://naturewatch.org.nz/observations/5901311,https://static.inaturalist.org/photos/7358885/medium.jpg?1492839455,,,,false,1,0,false,,"Massey University campus, Palmerston North",-40.3834805229,175.6175923347,8,,,false,,,Blackbird,Turdus merula,Blackbird,Aves,12716,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,Turdus,,Turdus merula,,,,
6098267,2017/05/05 4:59 PM +1200,2017-05-05,2017-05-05 04:59:00 UTC,Auckland,,165678,grey,2017-05-05 07:13:05 UTC,2017-05-05 08:55:59 UTC,needs_id,CC-BY-NC,http://naturewatch.org.nz/observations/6098267,https://static.inaturalist.org/photos/7628846/medium.jpeg?1493967597,,,Three fruiting bodies growing on a rotting branch. Largest cap 50 mm across. Possibly Gerronema sp. 'Howick'.,false,2,0,false,,"Bledisloe Park, Massey University, Palmerston North, New Zealand",-40.3819244754,175.6187081337,31,,,false,,,Gerronema,Gerronema,,Fungi,126990,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Porotheleaceae,,,,,Gerronema,,,,,,
6098353,2017/05/04 1:50 PM NZST,2017-05-04,2017-05-04 01:50:00 UTC,Wellington,,165678,grey,2017-05-05 07:49:32 UTC,2017-05-06 01:33:58 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/6098353,https://static.inaturalist.org/photos/7629000/medium.jpeg?1493970171,,,"Very small white mushrooms growing on a mossy log in broadleaf-podocarp forest. Caps up to 10 mm across, radially striate and with a creamy centre. Stems covered in thick whitish mucilage. Gills white, widely spaced.",false,1,0,false,,"Bledisloe Park, Massey University, Palmerston North, New Zealand",-40.3815321888,175.6182146072,31,,,false,,,Roridomyces austrororidus,Roridomyces austrororidus,,Fungi,411067,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Mycenaceae,,,,,Roridomyces,,Roridomyces austrororidus,,,,
6098464,2017/05/05 4:40 PM NZST,2017-05-05,2017-05-05 04:40:00 UTC,Wellington,,165678,grey,2017-05-05 08:30:36 UTC,2017-05-06 01:50:10 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/6098464,https://static.inaturalist.org/photos/7629203/medium.jpeg?1493972874,,,Growing on a rotting log in broadleaf-podocarp forest. Caps up to 20 mm across.,false,1,0,false,,"Bledisloe Park, Massey University, Palmerston North, New Zealand",-40.3821206178,175.6189012527,31,,,false,,,Mycena parsonsii,Mycena parsonsii,,Fungi,408088,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Mycenaceae,,,,,Mycena,,Mycena parsonsii,,,,
6102722,2017/05/05 4:50 PM NZST,2017-05-05,2017-05-05 04:50:00 UTC,Wellington,,165678,grey,2017-05-05 19:26:55 UTC,2017-05-07 19:18:51 UTC,research,CC-BY-NC,http://naturewatch.org.nz/observations/6102722,https://static.inaturalist.org/photos/7634690/medium.jpeg?1494012184,,,"Small fruit bodies growing on a thin rotting branch in broadleaf-podocarp forest. Caps up to 10 mm across, with a scaly upper surface.",false,1,0,false,,"Bledisloe Park, Massey University, Palmerston North, New Zealand",-40.3821533082,175.6185793877,31,,,false,,,Pleuroflammula praestans,Pleuroflammula praestans,,Fungi,383712,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Crepidotaceae,,,,,Pleuroflammula,,Pleuroflammula praestans,,,,
6107289,2017/05/06 ,2017-05-06,,Wellington,,57775,pohanginapete,2017-05-06 03:49:14 UTC,2019-01-31 12:13:59 UTC,research,CC-BY,http://naturewatch.org.nz/observations/6107289,https://static.inaturalist.org/photos/7641653/medium.jpg?1494042467,,,,false,2,0,false,,"Massey University campus, Palmerston North",-40.3862668533,175.6166036724,4,,,false,,,Australasian Coot,Fulica atra australis,Australasian Coot,Aves,413478,Animalia,Chordata,Vertebrata,,Aves,,,Gruiformes,,,Rallidae,,,,,Fulica,,Fulica atra,,Fulica atra australis,,
6107488,2017/05/06 ,2017-05-06,,Wellington,,57775,pohanginapete,2017-05-06 04:18:06 UTC,2017-05-06 04:22:28 UTC,research,CC-BY,http://naturewatch.org.nz/observations/6107488,https://static.inaturalist.org/photos/7642017/medium.jpg?1494044223,,,,false,1,0,false,,"Massey University campus, Palmerston North",-40.383470716,175.617562294,8,,,false,,,Turk's Cap,Malvaviscus arboreus,Turk's cap,Plantae,120942,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Malvaceae,Malvoideae,,Hibisceae,,Malvaviscus,,Malvaviscus arboreus,,,,
6114820,2017/05/05 4:27 PM +1200,2017-05-05,2017-05-05 04:27:00 UTC,Auckland,,165678,grey,2017-05-06 20:17:13 UTC,2017-06-27 20:50:03 UTC,needs_id,CC-BY-NC,http://naturewatch.org.nz/observations/6114820,https://static.inaturalist.org/photos/7652939/medium.jpeg?1494101284,,,"Growing on the trunk of a small standing dead tree. Brackets up to 30 mm by 18 mm, about 6 mm thick near the point of attachment. Upper surface dark fibrillose appearance, with blue-green tinge, especially nearer the margin. Pore surface blue-grey fading to nearly white near the margin. Context white, 2-3 mm thick. Pores grey, 3 mm long.",false,0,0,false,,"Bledisloe Park, Massey University, Palmerston North, New Zealand",-40.3822186888,175.6189870834,31,,,false,,,Shelf fungi,Polyporales,shelf fungi,Fungi,47380,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,,,,,,,,,,,,
6413821,2017/05/29 4:32 PM +1200,2017-05-29,2017-05-29 04:32:00 UTC,Auckland,,165678,grey,2017-05-29 07:38:07 UTC,2017-05-29 16:54:12 UTC,needs_id,CC-BY-NC,http://naturewatch.org.nz/observations/6413821,https://static.inaturalist.org/photos/8093750/medium.jpeg?1496043187,,,Growing in soil beneath trees and shrubs in a modified habitat. Up to 20 mm high.,false,3,0,false,,"Fitzherbert, Palmerston North, New Zealand",-40.3865663596,175.6361746788,31,,,false,,,Clavulinopsis,Clavulinopsis,,Fungi,55244,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Clavariaceae,,,,,Clavulinopsis,,,,,,
6421255,2017/05/29 4:00 PM NZST,2017-05-29,2017-05-29 04:00:00 UTC,Wellington,,165678,grey,2017-05-29 21:32:45 UTC,2017-05-30 20:26:25 UTC,needs_id,CC-BY-NC,http://naturewatch.org.nz/observations/6421255,https://static.inaturalist.org/photos/8105640/medium.jpeg?1496092523,,,"Small mushrooms growing on the bark of an old willow (Salix) tree. Caps up to 25 mm across, tan coloured in the centre fading to creamy-white at the margin which is slightly rolled under, especially in younger specimens. Gills and spore print whitish, gills running down the stem. Stem tan coloured.",false,1,0,false,,"Fitzherbert, Palmerston North, New Zealand",-40.3868768968,175.6365180016,31,,,false,,,Funnels,Clitocybe,Funnels,Fungi,54625,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,,,Clitocybe,,,,,,
